fixed metal distribution -- based on Grevesse & Sauval (1998) solar abundances
    form     version        X           Z          logRs    logR_min    logR_max       logTs    logT_min    logT_max
       1          36    0.700000    0.020000          37   -8.000000    1.000000         138    3.750000    8.700000

   logT                       logR = logRho - 3*logT + 18
          -8.000  -7.750  -7.500  -7.250  -7.000  -6.750  -6.500  -6.250  -6.000  -5.750  -5.500  -5.250  -5.000  -4.750  -4.500  -4.250  -4.000  -3.750  -3.500  -3.250  -3.000  -2.750  -2.500  -2.250  -2.000  -1.750  -1.500  -1.250  -1.000  -0.750  -0.500  -0.250   0.000   0.250   0.500   0.750   1.000

   4.575  -0.419  -0.413  -0.404  -0.395  -0.381  -0.362  -0.336  -0.300  -0.252  -0.190  -0.112  -0.017   0.095   0.224   0.369   0.532   0.710   0.905   1.115   1.337   1.570   1.815   2.068   2.327   2.592   2.860   3.130   3.398   3.663   3.924   4.176   4.417   4.642   4.848   5.032   5.189   5.321
   4.600  -0.420  -0.414  -0.405  -0.396  -0.383  -0.365  -0.340  -0.305  -0.258  -0.195  -0.115  -0.015   0.103   0.240   0.395   0.567   0.753   0.954   1.167   1.389   1.621   1.862   2.110   2.366   2.627   2.892   3.159   3.427   3.691   3.952   4.204   4.444   4.669   4.875   5.059   5.215   5.345
   4.625  -0.420  -0.414  -0.405  -0.396  -0.384  -0.367  -0.343  -0.309  -0.264  -0.202  -0.122  -0.021   0.101   0.244   0.407   0.588   0.783   0.992   1.210   1.436   1.668   1.907   2.153   2.404   2.660   2.921   3.185   3.449   3.711   3.969   4.219   4.458   4.682   4.887   5.070   5.225   5.354
   4.650  -0.420  -0.413  -0.405  -0.397  -0.385  -0.369  -0.346  -0.314  -0.270  -0.210  -0.132  -0.030   0.093   0.240   0.409   0.597   0.801   1.017   1.242   1.472   1.708   1.947   2.190   2.437   2.689   2.945   3.204   3.464   3.723   3.977   4.224   4.461   4.682   4.885   5.066   5.220   5.347
   4.675  -0.420  -0.413  -0.405  -0.397  -0.386  -0.370  -0.349  -0.319  -0.277  -0.220  -0.143  -0.043   0.080   0.229   0.400   0.593   0.802   1.024   1.255   1.491   1.731   1.972   2.216   2.462   2.710   2.962   3.215   3.470   3.724   3.974   4.217   4.450   4.668   4.869   5.048   5.202   5.330
   4.700  -0.420  -0.413  -0.405  -0.397  -0.386  -0.372  -0.351  -0.323  -0.284  -0.229  -0.155  -0.058   0.064   0.212   0.384   0.579   0.792   1.018   1.254   1.495   1.739   1.984   2.230   2.475   2.722   2.970   3.219   3.469   3.717   3.962   4.200   4.428   4.643   4.841   5.019   5.171   5.300
   4.725  -0.421  -0.413  -0.405  -0.396  -0.386  -0.372  -0.353  -0.327  -0.289  -0.237  -0.167  -0.073   0.046   0.192   0.363   0.557   0.770   0.998   1.236   1.481   1.729   1.977   2.226   2.474   2.721   2.967   3.213   3.459   3.702   3.942   4.175   4.398   4.609   4.805   4.981   5.135   5.265
   4.750  -0.421  -0.412  -0.404  -0.395  -0.385  -0.372  -0.354  -0.329  -0.293  -0.244  -0.177  -0.087   0.028   0.170   0.338   0.531   0.742   0.970   1.209   1.455   1.706   1.958   2.210   2.460   2.709   2.955   3.199   3.442   3.681   3.916   4.144   4.363   4.571   4.763   4.938   5.091   5.222
   4.775  -0.420  -0.411  -0.403  -0.394  -0.384  -0.371  -0.353  -0.330  -0.296  -0.249  -0.185  -0.099   0.011   0.150   0.314   0.503   0.712   0.938   1.176   1.422   1.674   1.927   2.182   2.435   2.686   2.933   3.178   3.418   3.655   3.886   4.111   4.326   4.530   4.721   4.894   5.048   5.181
   4.800  -0.417  -0.409  -0.401  -0.392  -0.382  -0.369  -0.352  -0.329  -0.297  -0.252  -0.191  -0.109  -0.003   0.131   0.290   0.474   0.680   0.903   1.139   1.385   1.636   1.891   2.147   2.402   2.656   2.905   3.151   3.392   3.627   3.856   4.077   4.289   4.491   4.679   4.851   5.003   5.138
   4.825  -0.413  -0.405  -0.397  -0.389  -0.379  -0.366  -0.349  -0.327  -0.296  -0.253  -0.195  -0.116  -0.015   0.114   0.268   0.447   0.649   0.868   1.103   1.347   1.598   1.853   2.111   2.367   2.622   2.874   3.121   3.363   3.598   3.826   4.046   4.256   4.455   4.640   4.811   4.963   5.097
   4.850  -0.407  -0.400  -0.392  -0.384  -0.374  -0.362  -0.345  -0.324  -0.293  -0.252  -0.196  -0.121  -0.023   0.101   0.249   0.424   0.620   0.836   1.068   1.310   1.561   1.816   2.074   2.332   2.588   2.842   3.091   3.334   3.570   3.798   4.017   4.226   4.422   4.606   4.774   4.924   5.058
